,Title,Company Name,Location,Work Type,Description
10,Frontend Developer,"
                  InGroup
                ","
                Beijing, Beijing, China
              ",On-site,"  Job Duties    Work with team in design and development of Web products Conitinous update/upgrade of assigned products Carry out frontend-backend configuration and optimization    Qualifications    Bachelor’s degree and above with excellent English reading abilities 3+ years frontend experience with relaxed conditions for ideal candidates Familiar with H5, CSS3, Javascript and ES6 Familiar with React framework Knowledge in Frontend tools such as Webpack, Gulp, Rollup and so on    Additional Qualifications    Work experience with top IT companies or oversee work experience Degree in notable school oversea and familiar with foreign work cultures Familiar with Web3.js, ethers.js and so on Interest in blockchain and smart contracts    Benefits    Free work environment with honest communication and collaboration Top salary along with the company's ESOP/Bonus Plan Optional worldwide offices in Beijing/Shanghai/US/Singapore New members will be gifted inGroup contributor NFT on the Ethereum blockchain(designed by artists previouls worked with Adidas) Monthly crypto/NFT bonus In-person employees will be provided with food/transportation/housing allowances   How to Apply   🎫 contact us   lisa.huang@ingroup.chat SHA-2#7531(dc) @Lisa_Gogo(tg) hxjiapg(wechat)  "
11,Front-end Developers,"
                  Michael Page
                ","
                Chengdu, Sichuan, China
              ",On-site,"  a famous listed company|a promising career path     About Our Client  a very famous listed company who ranks high in Fortune top500   Job Description  Roles and Responsibilities:   Communicate with customers to understand the business requirement (20%) Assistant Project Manager to provide the estimation and schedule (10%) Draft technical specification according to business requirement (40%) Perform programming and unit test (10%) Fix system &amp; integration testing and UAT defects promptly, delivery services within deadline with quality (10%) Mentor and support information engineer for system development (10%) Performs other responsibilities and duties periodically assigned by supervisor in order to meet operational and/or other requirements.    The Successful Applicant  Job Requirements:   Bachelor Degree or above in Computer Science or IT related discipline * Minimum 5 years experiences in programming, participating in technical design and construction phase of a development projects involving n-tier, object-oriented(OO) component-based applications. * Front-end development experience included VUE or Angular Framework well ,Javascript, HTML5, XML, JSON, CSS, Ajax, Jquery 5+ years experience in related language or platform: Cloud platforms, Linux/Windows/Unix platforms, Web/mobile applications 3+ yrs database and SQL experience (DB2 and Oracle etc) Knowledge of Software development life cycle (SDLC) Good command of both written and spoken English Self motivator and quick learner * Ability to design and implement innovative and maintainable solutions to complex problems Has experience on insurance is preferable    What's On Offer  a very high salary and extra bonus within diversified culture   Contact: Elma Li  Quote job ref: 4213568  "
12,Front-End Engineer,"
                  KAWO
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
13,Frontend Engineer,"
                  Michael Page
                ","
                Shanghai, Shanghai, China
              ",On-site,  AI板块独角兽|外资上市公司     About Our Client  全球AI数据服务市场的先行者，在内容相关度评价、图像、视频、语音和文本数据服务领域有20多年的服务经验.   Job Description   参与需求评估，包括但不限于需求细节讨论、优先级制定、开发计划评估 参与工作流管理组件、资源管理组件等平台组件开发 在快速的迭代中灵活合理分配自我时间，达成既定目标   The Successful Applicant   计算机相关专业，本科及以上学位 3-10年以上软件开发工作经验，熟知前端开发框架 熟练掌握html/css/js 熟练掌握计算机原理、数据结构和算法知识 有出色的解决问题能力 自我驱动，结果导向  What's on Offer  上市公司-股票激励；   wlb，硅谷风格。   Contact: Dora Ren  Quote job ref: JN-082021-3425278  
14,Full Stack Engineer-Home Based(美国数字货币交易所）,"
                  Michael Page
                ","
                Beijing, Beijing, China
              ",On-site,  工作生活平衡|美国数字货币交易所     About Our Client  美国数字货币交易所   Job Description  Full stack development   The Successful Applicant   Expert knowledge of building frontend web applications Ability to write CSS from scratch without the use of a framework Ability to write semantic HTML Knowledge of common security vulnerabilities Expert knowledge of building backend services Ability to design REST APIs Ability to write custom middleware Expert knowledge of HTTP and the delivery of web content Knowledge of common security vulnerabilities Expert in relational databases Ability to architect models and setup relationships Understands query resolution and performance Knowledge of common security vulnerabilities Knowledge of non-relational databases Knowledge of systems design Ability to setup an application for production deployment on AWS or similar cloud service Understanding and implementation of different subsystems in systems architecture 2+ years of JavaScript experience NodeJS Typescript experience preferred Built and operated production NodeJS deployments React JS    What's On Offer  有竞争力的薪资，区块链，智能合约等技术的前沿追踪   Contact: Michael Yuan  Quote job ref: JN-022022-5269347  
15,Factory Software Engineer,"
                  Tesla
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
16,"Software Engineer, Backend","
                  Grab
                ","
                Beijing, Beijing, China
              ",On-site," Job Description:   Life at Grab:  At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.   Get to know our Team  When you're an engineer at Grab, you are part of the heart and soul of the company. Our passion is anchored in our work, and this is reflected in the impact we make on millions of lives daily. The deliveries tech family is responsible for multiple key business verticals at Grab (Food, Mart, and Express). We adopt a microservice architecture on the backend and utilise various frontend techniques (e.g. IOS, ADR, Flutter and Web) to serve our end users (e.g. Consumers, Drivers, Merchants, and Business Partners) across seven countries. We proactively generalise our microservices into platforms to improve the speed to market of new products. We follow an adaptive system principle, in which systems keep improving upon different feedback signals without human intervention.    Get to know the Role    In this role, you’ll work to build seamless integration platforms, build strategic and collaborative alliances with external partners, and explore everything innovative to unlock growth opportunities in the Deliveries ecosystem.   The Day-to-Day Activities:   Design and write with the cutting edge GO language to improve the availability, scalability, latency, and efficiency of Grab's range of services. You will be involved in code and design reviews to maintain Grab's development standards. You will engage in service capacity and demand planning, software performance analysis, tuning and optimization Participate in code and design reviews to maintain our high development standard You will partner with other engineering teams to explore and create new designs/architectures geared towards scale and performance. You will have opportunities to collaborate with product and experience teams to define and prototype feature specifications. Work closely with the infrastructure team in building and scaling back-end services and performing root cause analysis investigations. You are responsible for designing, building, analyzing and fixing large-scale systems. Debug and modify complex production software   The Must-Haves:   You have Heart, Hunger, Honour and Humility You have the continuous desire to learn new things and embrace the latest technologies You have a degree in Computer Science, Software Engineering, Information Technology, or related fields. You possess solid Computer Science fundamentals in algorithms and data structures. You have a sound understanding of system performance and scaling. You can be a good coder in any programming language, but willing to work on Golang. You are passionate about building products, features and platforms to accelerate business growth. Prior experience in building software systems for food delivery businesses will be a bonus.   Our Commitment:  We are committed to building diverse teams and creating an inclusive workplace that enables all Grabbers to perform at their best, regardless of nationality, ethnicity, religion, age, gender identity or sexual orientation and other attributes that make each Grabber unique.   About Grab  Grab is the leading superapp platform in Southeast Asia, providing everyday services that matter to consumers. Today, the Grab app has been downloaded onto millions of mobile devices, giving users access to over 9 million drivers, merchants, and agents. Grab offers a wide range of on-demand services in the region, including mobility, food, package and grocery delivery services, mobile payments, and financial services across 428 cities in eight countries   Join us today to drive Southeast Asia forward, together.  "
17,Data Scientist,"
                  Procter & Gamble
                ","
                Guangzhou-Foshan Metropolitan Area
              ",On-site," Description At P&amp;G, we use sophisticated machine learning methods to seek challenging Research and Development problems. These challenges range from developing creative products, personalizing consumer experiences and understanding our consumers in depth. In this role you will work on multiple projects on which you will use data modeling and machine learning tools to seek these types of problems. We have a diverse, global team with similar backgrounds and projects with which you can collaborate to help find solutions. You will use tools such as Python and R. As a Data Scientist-Masters: 1)You'll be using Big Data and sophisticated analytics to advise the engagement of our business leaders. 2)You will be collaborating actively across functional partners and senior management to accomplish various project objectives. 3)We are seeking someone who can execute research and analytics, including data source identification, processing, model/algorithm development. 4)Ultimately you will be turning insights into important recommendations which will drive business value creation. We are looking for you: 1)To be technically capable and adept at demonstrating such technologies for solving ad hoc business problems, innovating on potential future solutions, and working with technology partners to translate your innovations into robust, scaled, analytic solutions. 2)You will get into the details in the data, demonstrating artificial intelligence and analytic tools (Python, R, Scala, Spark, TensorFlow, Hadoop, KNIME, etc.) to unlock business building insights in our mountains of data. At P&amp;G, Data Scientists are Business Leaders, an effective communicator, results-oriented, and able to drive insights into actions that improve P&amp;G’s business results. Your Business knowledge, interpersonal/communication skills are therefore vital to thrive in a multi- functional leadership team. We desire someone who is passionate about analytics. Your analytic skills are the foundation of this role. The ability to mine terabytes of data, derive meaningful insights, and then translate those insights into business improving action is essential in our work.   Description At P&amp;G, we use sophisticated machine learning methods to seek challenging Research and Development problems. These challenges range from developing creative products, personalizing consumer experiences and understanding our consumers in depth. In this role you will work on multiple projects on which you will use data modeling and machine learning tools to seek these types of problems. We have a diverse, global team with similar backgrounds and projects with which you can collaborate to help find solutions. You will use tools such as Python and R. As a Data Scientist-Masters: 1)You'll be using Big Data and sophisticated analytics to advise the engagement of our business leaders. 2)You will be collaborating actively across functional partners and senior management to accomplish various project objectives. 3)We are seeking someone who can execute research and analytics, including data source identification, processing, model/algorithm development. 4)Ultimately you will be turning insights into important recommendations which will drive business value creation. We are looking for you: 1)To be technically capable and adept at demonstrating such technologies for solving ad hoc business problems, innovating on potential future solutions, and working with technology partners to translate your innovations into robust, scaled, analytic solutions. 2)You will get into the details in the data, demonstrating artificial intelligence and analytic tools (Python, R, Scala, Spark, TensorFlow, Hadoop, KNIME, etc.) to unlock business building insights in our mountains of data. At P&amp;G, Data Scientists are Business Leaders, an effective communicator, results-oriented, and able to drive insights into actions that improve P&amp;G’s business results. Your Business knowledge, interpersonal/communication skills are therefore vital to thrive in a multi- functional leadership team. We desire someone who is passionate about analytics. Your analytic skills are the foundation of this role. The ability to mine terabytes of data, derive meaningful insights, and then translate those insights into business improving action is essential in our work.   Qualifications:  Qualification Required Are you a leader who is pursuing or has graduated with a Master’s degree in a quantitative field (Operation Research, Computer Science, Engineering, Applied Math, Statistics, Analytics, Physics, etc.) or have equivalent work experience? If you are a good fit for the Data Scientist- Masters position, you will have: 1.Shown leadership in applying and scaling Analytic techniques (e.g. Machine Learning) to deliver substantial insights from data (in academics or in industry) 2.Strong written and verbal communication skills to influence others to take action 3.Demonstrated ability to balance multiple priorities 4.Good communication skills, proactive, dynamic and can-do attitude 5.Strong passion and curiosity about the intersection of business and technology 6.Preferred Experience in redefining current business practices in CPG or related industries to help crafting a new go-to-market models. Preferred Experience with Analytical Tools/Applications including: 1. Unix/Linux. 2. Big Data Ecosystem: Hadoop, Spark, Databricks, MapReduce, SQL, Hive. 3. Scientific Computing: Python, R, C++, Java, Scala. 4. High-Performance Parallel and Distributing Computing. 5. Collaboration Tools: GitHub, JIRA, Confluence. 6. Deep Learning frameworks: Keras, Tensorflow. 7. Data Visualization. 8. Data Management Systems. 9. Business Intelligence tools: such as KNIME, Tableau, Power BI.   "
18,Software Engineer,"
                  Activision Blizzard
                ","
                Shanghai, Shanghai, China
              ",On-site,"  Job Title    Software Engineer    Requisition ID    R006694    Job Description    Responsibility:  A professional individual contributor that develops writes and debugs code. Has in depth expertise.   Provides technical solutions and delivers clear, tested and efficient code for various elements of the game. Anticipates, identifies and articulates problem areas and develops preventative solutions. Has a clear vision of how products should function and the ability to lead peers to share this vision. Supports content creators in their work. Mentors less experienced members of the team. Solves complex problems in resourceful and effective ways. Participates in agile game development processes including pair programming and test driven development. Reports to the Lead Programmer / Technical Director.   Requirement：   Spearheaded design and implementation of several architectural systems. Demonstrated proficiency in C/C++. Strong 3D math background. Thorough understanding of common data structures and algorhmic solutions. Expert in several of the following areas: graphics and animation techniques, interface design practices, effects, test engineer, AI, online, physics, rendering, vehicle, portability, extensibility, and testability. Thorough knowledge of software design practices including modular architecture, event-driven architecture, software design patterns and object-oriented design. Ability to work with internal and externally developed code. Ability to write clean, readable, portable, reliable, and optimized code. A strong passion for video games. Five or more years of programming experience in the game industry. Has shipped more than one game. Degree in Computer Science.    Competencies    Strong problem solving and trouble-shooting skills. Imagines, envisions and devises new approaches, concepts, models, designs and processes. Leadership and mentoring skills. Communicates effectively wh the development team. Good English verbal and wrten communication skills. Continuous learner. Abily to adapt to change. Strong organizational skills. Strong interpersonal skills.  "
19,Data Scientist,"
                  Airwallex
                ","
                Shanghai, Shanghai, China
              ",On-site,"  About Airwallex    Established in Melbourne in 2015, Airwallex is a global payments fintech transforming the way businesses move and manage money domestically and internationally.   In today’s fast-changing digital era, our purpose is to empower businesses of all sizes to grow in their own markets and around the world, and by doing so, contribute to the global economy. With technology at our core, we built a proprietary global financial infrastructure platform to help businesses transact, collect and pay in any foreign currency across 130+ countries and 50+ currencies, without the constraints of the traditional global financial system.   In just five years since we were founded, Airwallex has grown to become Australia’s fastest-growing fintech unicorn and a well-funded international technology leader backed by world-leading investors. Our leadership, innovation, and scale have been recognized and awarded by leading independent authorities, such as listing in Forbes' Cloud 100 2021 and placing in the Top 50 of KPMG’s Global Fintech100 three years in a row.   To support our ambitious growth plans, we’re looking to expand our global teams with smart, driven, and passionate individuals who are excited about joining our rocketship and taking on the challenge of a lifetime.    Responsibilities    The role is in Global Data Strategy&amp;Analytics team   Define, understand, and test opportunities and levers to improve the product, and drive roadmaps through your insights and recommendations. Work with large and complex data sets to solve a wide array of business problems using different analytical and statistical approaches. Apply technical expertise with quantitative analysis, experimentation, data mining, and the presentation of data to develop strategies for our products Identify and measure the success of product efforts through goal setting, forecasting, and monitoring of key product metrics to understand trends. Partner with Product, Engineering, and cross-functional teams to inform, influence, support, and execute product strategy and investment decisions   Qualification   3+ years of industry experience and an advanced degree in a quantitative field Experience with communicating the results of analyses to executives and cross-functional teams to influence the strategy Expert in data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R), experience in schema design and dimensional data modeling a plus Ability to perform statistical analysis to drive data-informed decisions Experience in technology, financial services, and/or a high growth environment is advantageous   At Airwallex you’ll have the ability to make an impact in a rapidly growing, global fintech. You’ll be offered a competitive salary and we also like to ensure we create the best environment for our people by providing collaborative open office space with a fully stocked kitchen. We organize regular team-building events, encourage flexible/remote working, and give our people the freedom to be creative.  Airwallex is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Airwallex is considered based on merit, qualifications, competence, and talent. We don’t regard color, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status. If you have a disability or special need that requires accommodation, please let us know.  Airwallex does not accept unsolicited resumes from search firms/recruiters. Airwallex will not pay any fees to search firms/recruiters if a candidate is submitted by a search firm/recruiter unless an agreement has been entered into with respect to the specific open position(s). Search firms/recruiters submitting resumes to Airwallex on an unsolicited basis shall be deemed to accept this condition, regardless of any other provision to the contrary.  "
